B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,
B0,,,,,,,,,,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,,,,,,,,,,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,,,,,,,,,,B0,,,,,B0,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,,,,,,,,B0,B0,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,,,B0,B0,,,,,,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,,B0,,,B0,,,,,B0,B0,B0,,,,,,B0,B0,B0,,,,,,,,,,,,,,,,,,,,,,,,
B0,,,,,,,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,,,,,,,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,B0,,,,,,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,,,B0,,,,,,,,,,,,,,,,,,,,B0,,,,,B0,,,,,,,,,,,,,,,,
B0,,,,,,,,,,,,,,E0,E0,E0,,E1,,E1,,,,,,,,,,,,,,,,,,,,,,,,
B0,,,,,,,,,,,,,,E0,E0,E0,E1,,E1,,,,,,,,,,,,,,,,,,,,,,,,,
B0,,,,,,,,,,,,,,E0,E0,E1,,E1,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,,,,,,B0,,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,
B0,,,,,,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,,,P,,,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,
B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
